id_tweets,stance_epfl,agreement
375,neutral,Partial agreement
376,positive,Partial agreement
377,neutral,Partial agreement
378,neutral,Partial agreement
379,neutral,Partial agreement
381,neutral,Partial agreement
382,negative,Partial agreement
383,neutral,Partial agreement
384,neutral,Partial agreement
385,neutral,Partial agreement
386,negative,Partial agreement
387,neutral,Partial agreement
388,neutral,Partial agreement
389,neutral,Partial agreement
390,neutral,Partial agreement
391,neutral,Partial agreement
392,neutral,Partial agreement
393,neutral,Partial agreement
394,neutral,Partial agreement
395,neutral,Partial agreement
396,positive,Partial agreement
397,neutral,Partial agreement
399,positive,Partial agreement
400,neutral,Partial agreement
401,neutral,Partial agreement
402,positive,Partial agreement
403,neutral,Partial agreement
404,neutral,Partial agreement
405,neutral,Partial agreement
406,neutral,Partial agreement
407,neutral,Partial agreement
408,neutral,Partial agreement
409,neutral,Partial agreement
410,neutral,Partial agreement
411,neutral,Partial agreement
412,neutral,Partial agreement
415,neutral,Partial agreement
416,neutral,Partial agreement
417,neutral,Partial agreement
418,neutral,Partial agreement
419,neutral,Partial agreement
420,neutral,Partial agreement
421,neutral,Partial agreement
422,neutral,Partial agreement
423,neutral,Partial agreement
425,neutral,Partial agreement
426,neutral,Partial agreement
428,negative,Partial agreement
429,neutral,Partial agreement
430,neutral,Partial agreement
431,neutral,Partial agreement
432,neutral,Partial agreement
433,neutral,Partial agreement
435,neutral,Partial agreement
436,neutral,Partial agreement
438,neutral,Partial agreement
440,positive,Partial agreement
441,neutral,Partial agreement
442,neutral,Partial agreement
443,neutral,Partial agreement
444,neutral,Partial agreement
445,neutral,Partial agreement
446,neutral,Partial agreement
447,neutral,Partial agreement
449,neutral,Partial agreement
452,neutral,Partial agreement
453,positive,Partial agreement
454,neutral,Partial agreement
455,neutral,Partial agreement
456,neutral,Partial agreement
458,neutral,Partial agreement
459,neutral,Partial agreement
460,positive,Partial agreement
461,neutral,Partial agreement
462,neutral,Partial agreement
463,neutral,Partial agreement
464,neutral,Partial agreement
465,neutral,Partial agreement
466,neutral,Partial agreement
467,neutral,Partial agreement
468,neutral,Partial agreement
469,neutral,Partial agreement
470,neutral,Partial agreement
474,neutral,Partial agreement
477,positive,Partial agreement
478,neutral,Partial agreement
479,neutral,Partial agreement
480,neutral,Partial agreement
482,neutral,Partial agreement
484,neutral,Partial agreement
485,neutral,Partial agreement
486,neutral,Partial agreement
487,negative,Partial agreement
488,neutral,Partial agreement
489,neutral,Partial agreement
490,neutral,Partial agreement
491,neutral,Partial agreement
492,neutral,Partial agreement
493,positive,Partial agreement
494,neutral,Partial agreement
495,neutral,Partial agreement
496,neutral,Partial agreement
498,positive,Partial agreement
499,neutral,Partial agreement
500,neutral,Partial agreement
501,neutral,Partial agreement
503,neutral,Partial agreement
505,neutral,Partial agreement
508,neutral,Partial agreement
509,positive,Partial agreement
510,neutral,Partial agreement
511,neutral,Partial agreement
513,neutral,Partial agreement
514,neutral,Partial agreement
516,positive,Partial agreement
517,neutral,Partial agreement
518,positive,Partial agreement
519,neutral,Partial agreement
520,neutral,Partial agreement
521,neutral,Partial agreement
522,neutral,Partial agreement
523,neutral,Partial agreement
525,neutral,Partial agreement
526,neutral,Partial agreement
527,positive,Partial agreement
528,neutral,Partial agreement
531,neutral,Partial agreement
532,positive,Partial agreement
533,neutral,Partial agreement
534,positive,Partial agreement
535,positive,Partial agreement
536,neutral,Partial agreement
537,neutral,Partial agreement
538,neutral,Partial agreement
539,neutral,Partial agreement
540,neutral,Partial agreement
542,neutral,Partial agreement
543,neutral,Partial agreement
544,neutral,Partial agreement
545,neutral,Partial agreement
546,neutral,Partial agreement
548,neutral,Partial agreement
549,neutral,Partial agreement
552,neutral,Partial agreement
553,neutral,Partial agreement
554,neutral,Partial agreement
555,neutral,Partial agreement
556,neutral,Partial agreement
557,neutral,Partial agreement
559,neutral,Partial agreement
560,neutral,Partial agreement
561,neutral,Partial agreement
562,neutral,Partial agreement
563,neutral,Partial agreement
564,neutral,Partial agreement
565,positive,Partial agreement
566,neutral,Partial agreement
567,neutral,Partial agreement
568,neutral,Partial agreement
569,neutral,Partial agreement
570,negative,Partial agreement
571,negative,Partial agreement
572,neutral,Partial agreement
573,neutral,Partial agreement
574,neutral,Partial agreement
575,neutral,Partial agreement
577,neutral,Partial agreement
578,positive,Partial agreement
579,neutral,Partial agreement
580,neutral,Partial agreement
581,neutral,Partial agreement
583,neutral,Partial agreement
584,neutral,Partial agreement
585,neutral,Partial agreement
586,neutral,Partial agreement
587,positive,Partial agreement
588,positive,Partial agreement
590,neutral,Partial agreement
591,neutral,Partial agreement
592,negative,Partial agreement
593,neutral,Partial agreement
594,neutral,Partial agreement
595,neutral,Partial agreement
596,neutral,Partial agreement
597,neutral,Partial agreement
598,neutral,Partial agreement
600,positive,Partial agreement
602,neutral,Partial agreement
603,neutral,Partial agreement
604,neutral,Partial agreement
605,neutral,Partial agreement
606,neutral,Partial agreement
607,positive,Partial agreement
608,neutral,Partial agreement
609,positive,Partial agreement
610,neutral,Partial agreement
611,negative,Partial agreement
612,negative,Partial agreement
615,positive,Partial agreement
618,positive,Partial agreement
620,neutral,Partial agreement
622,positive,Partial agreement
623,neutral,Partial agreement
624,neutral,Partial agreement
627,neutral,Partial agreement
628,neutral,Partial agreement
629,neutral,Partial agreement
630,neutral,Partial agreement
632,positive,Partial agreement
633,neutral,Partial agreement
637,neutral,Partial agreement
638,positive,Partial agreement
639,neutral,Partial agreement
644,positive,Partial agreement
645,negative,Partial agreement
646,neutral,Partial agreement
647,positive,Partial agreement
650,neutral,Partial agreement
651,neutral,Partial agreement
653,neutral,Partial agreement
654,neutral,Partial agreement
655,neutral,Partial agreement
660,neutral,Partial agreement
664,neutral,Partial agreement
665,neutral,Partial agreement
667,positive,Partial agreement
669,neutral,Partial agreement
670,neutral,Partial agreement
671,neutral,Partial agreement
672,neutral,Partial agreement
674,neutral,Partial agreement
675,neutral,Partial agreement
676,neutral,Partial agreement
678,neutral,Partial agreement
679,neutral,Partial agreement
680,positive,Partial agreement
681,neutral,Partial agreement
682,neutral,Partial agreement
683,positive,Partial agreement
684,neutral,Partial agreement
685,neutral,Partial agreement
686,neutral,Partial agreement
688,neutral,Partial agreement
689,negative,Partial agreement
690,neutral,Partial agreement
691,positive,Partial agreement
692,positive,Partial agreement
693,neutral,Partial agreement
695,neutral,Partial agreement
696,neutral,Partial agreement
697,negative,Partial agreement
698,neutral,Partial agreement
699,neutral,Partial agreement
700,neutral,Partial agreement
701,neutral,Partial agreement
703,neutral,Partial agreement
704,neutral,Partial agreement
706,neutral,Partial agreement
707,positive,Partial agreement
708,neutral,Partial agreement
710,neutral,Partial agreement
711,neutral,Partial agreement
712,neutral,Partial agreement
713,neutral,Partial agreement
715,negative,Partial agreement
716,neutral,Partial agreement
717,neutral,Partial agreement
718,negative,Partial agreement
719,neutral,Partial agreement
721,neutral,Partial agreement
722,neutral,Partial agreement
724,neutral,Partial agreement
725,neutral,Partial agreement
726,neutral,Partial agreement
727,neutral,Partial agreement
728,positive,Partial agreement
730,positive,Partial agreement
731,negative,Partial agreement
733,neutral,Partial agreement
734,positive,Partial agreement
735,neutral,Partial agreement
736,positive,Partial agreement
737,neutral,Partial agreement
738,neutral,Partial agreement
740,negative,Partial agreement
743,neutral,Partial agreement
745,positive,Partial agreement
746,neutral,Partial agreement
748,positive,Partial agreement
749,neutral,Partial agreement
750,positive,Partial agreement
752,neutral,Partial agreement
753,neutral,Partial agreement
754,neutral,Partial agreement
755,neutral,Partial agreement
757,negative,Partial agreement
758,neutral,Partial agreement
762,neutral,Partial agreement
764,neutral,Partial agreement
765,neutral,Partial agreement
766,neutral,Partial agreement
767,neutral,Partial agreement
769,neutral,Partial agreement
770,neutral,Partial agreement
772,neutral,Partial agreement
774,neutral,Partial agreement
775,negative,Partial agreement
776,neutral,Partial agreement
777,positive,Partial agreement
778,neutral,Partial agreement
779,neutral,Partial agreement
780,neutral,Partial agreement
782,neutral,Partial agreement
783,neutral,Partial agreement
786,neutral,Partial agreement
787,neutral,Partial agreement
788,neutral,Partial agreement
789,neutral,Partial agreement
790,neutral,Partial agreement
791,positive,Partial agreement
793,neutral,Partial agreement
794,neutral,Partial agreement
796,neutral,Partial agreement
798,negative,Partial agreement
799,neutral,Partial agreement
802,neutral,Partial agreement
810,neutral,Partial agreement
811,neutral,Partial agreement
812,positive,Partial agreement
813,neutral,Partial agreement
815,positive,Partial agreement
816,negative,Partial agreement
817,neutral,Partial agreement
819,neutral,Partial agreement
820,neutral,Partial agreement
821,positive,Partial agreement
822,neutral,Partial agreement
823,neutral,Partial agreement
829,neutral,Partial agreement
830,positive,Partial agreement
832,neutral,Partial agreement
834,positive,Partial agreement
835,neutral,Partial agreement
836,neutral,Partial agreement
837,neutral,Partial agreement
839,neutral,Partial agreement
840,positive,Partial agreement
841,positive,Partial agreement
842,positive,Partial agreement
843,neutral,Partial agreement
844,neutral,Partial agreement
845,negative,Partial agreement
846,positive,Partial agreement
848,positive,Partial agreement
849,neutral,Partial agreement
850,neutral,Partial agreement
852,neutral,Partial agreement
853,neutral,Partial agreement
854,neutral,Partial agreement
855,neutral,Partial agreement
856,neutral,Partial agreement
858,neutral,Partial agreement
859,positive,Partial agreement
860,neutral,Partial agreement
861,neutral,Partial agreement
862,neutral,Partial agreement
863,neutral,Partial agreement
864,positive,Partial agreement
866,neutral,Partial agreement
867,neutral,Partial agreement
868,neutral,Partial agreement
869,negative,Partial agreement
870,neutral,Partial agreement
871,neutral,Partial agreement
872,neutral,Partial agreement
874,negative,Partial agreement
875,neutral,Partial agreement
876,neutral,Partial agreement
877,neutral,Partial agreement
878,neutral,Partial agreement
879,neutral,Partial agreement
880,neutral,Partial agreement
881,positive,Partial agreement
882,neutral,Partial agreement
883,neutral,Partial agreement
884,neutral,Partial agreement
885,neutral,Partial agreement
886,neutral,Partial agreement
887,neutral,Partial agreement
888,neutral,Partial agreement
889,neutral,Partial agreement
890,neutral,Partial agreement
891,neutral,Partial agreement
892,neutral,Partial agreement
893,neutral,Partial agreement
894,neutral,Partial agreement
895,neutral,Partial agreement
896,neutral,Partial agreement
897,neutral,Partial agreement
898,neutral,Partial agreement
899,neutral,Partial agreement
900,neutral,Partial agreement
901,neutral,Partial agreement
903,negative,Partial agreement
904,positive,Partial agreement
905,neutral,Partial agreement
906,neutral,Partial agreement
907,neutral,Partial agreement
908,neutral,Partial agreement
912,neutral,Partial agreement
913,neutral,Partial agreement
914,negative,Partial agreement
915,neutral,Partial agreement
916,neutral,Partial agreement
917,neutral,Partial agreement
918,neutral,Partial agreement
919,neutral,Partial agreement
920,neutral,Partial agreement
921,neutral,Partial agreement
922,neutral,Partial agreement
923,neutral,Partial agreement
924,neutral,Partial agreement
925,neutral,Partial agreement
926,neutral,Partial agreement
927,negative,Partial agreement
928,neutral,Partial agreement
930,neutral,Partial agreement
931,neutral,Partial agreement
932,neutral,Partial agreement
934,negative,Partial agreement
935,neutral,Partial agreement
936,positive,Partial agreement
937,neutral,Partial agreement
938,neutral,Partial agreement
939,neutral,Partial agreement
940,negative,Partial agreement
941,neutral,Partial agreement
942,neutral,Partial agreement
943,negative,Partial agreement
944,neutral,Partial agreement
946,neutral,Partial agreement
947,neutral,Partial agreement
948,neutral,Partial agreement
950,neutral,Partial agreement
951,positive,Partial agreement
952,neutral,Partial agreement
953,neutral,Partial agreement
954,neutral,Partial agreement
955,neutral,Partial agreement
956,neutral,Partial agreement
957,neutral,Partial agreement
961,neutral,Partial agreement
962,neutral,Partial agreement
963,positive,Partial agreement
964,neutral,Partial agreement
965,neutral,Partial agreement
967,neutral,Partial agreement
968,neutral,Partial agreement
969,neutral,Partial agreement
970,positive,Partial agreement
971,neutral,Partial agreement
972,positive,Partial agreement
973,neutral,Partial agreement
974,neutral,Partial agreement
975,neutral,Partial agreement
976,neutral,Partial agreement
977,neutral,Partial agreement
978,neutral,Partial agreement
979,neutral,Partial agreement
981,neutral,Partial agreement
982,positive,Partial agreement
984,neutral,Partial agreement
986,neutral,Partial agreement
987,neutral,Partial agreement
988,neutral,Partial agreement
989,neutral,Partial agreement
990,neutral,Partial agreement
991,positive,Partial agreement
992,neutral,Partial agreement
993,neutral,Partial agreement
994,neutral,Partial agreement
995,neutral,Partial agreement
997,neutral,Partial agreement
999,neutral,Partial agreement
1000,neutral,Partial agreement
