id_tweets,stance_epfl,agreement
733,neutral,Full agreement
734,positive,Full agreement
740,negative,Full agreement
748,positive,Full agreement
750,positive,Full agreement
764,neutral,Full agreement
770,neutral,Full agreement
776,neutral,Full agreement
778,neutral,Full agreement
790,neutral,Full agreement
791,positive,Full agreement
810,neutral,Full agreement
811,neutral,Full agreement
813,neutral,Full agreement
820,neutral,Full agreement
822,neutral,Full agreement
823,neutral,Full agreement
829,neutral,Full agreement
830,positive,Full agreement
836,neutral,Full agreement
840,positive,Full agreement
841,positive,Full agreement
845,negative,Full agreement
848,positive,Full agreement
849,neutral,Full agreement
852,neutral,Full agreement
853,neutral,Full agreement
854,neutral,Full agreement
856,neutral,Full agreement
858,neutral,Full agreement
859,positive,Full agreement
860,neutral,Full agreement
864,positive,Full agreement
867,neutral,Full agreement
868,neutral,Full agreement
870,neutral,Full agreement
875,neutral,Full agreement
876,neutral,Full agreement
880,neutral,Full agreement
882,neutral,Full agreement
883,neutral,Full agreement
884,neutral,Full agreement
885,neutral,Full agreement
886,neutral,Full agreement
892,neutral,Full agreement
895,neutral,Full agreement
896,neutral,Full agreement
899,neutral,Full agreement
900,neutral,Full agreement
904,positive,Full agreement
906,neutral,Full agreement
908,neutral,Full agreement
923,neutral,Full agreement
924,neutral,Full agreement
930,neutral,Full agreement
931,neutral,Full agreement
937,neutral,Full agreement
938,neutral,Full agreement
943,negative,Full agreement
946,neutral,Full agreement
947,neutral,Full agreement
952,neutral,Full agreement
961,neutral,Full agreement
962,neutral,Full agreement
963,positive,Full agreement
973,neutral,Full agreement
975,neutral,Full agreement
979,neutral,Full agreement
981,neutral,Full agreement
992,neutral,Full agreement
993,neutral,Full agreement
