neutral_mturk,negative_mturk,positive_mturk,total,agree_mturk,sent_m,sent_c,sent_g,sent_l,neutral_sent,pos_sent,neg_sent,agree_sent,neutral_stan,pos_stan,neg_stan,agree_stan,stance_m,stance_c,stance_g,stance_l,agree_stance,stance_epfl,id_tweets,sentiment_gpt,explanation,prompt,tweet_id
3,0,0,3,neutral,negative,negative,negative,negative,0,0,100,1,0,100,0,1,positive,positive,positive,positive,1,positive,245,negative,"he tweet expresses a negative sentiment towards naturopaths, homeopaths, etc. and implies that they are a threat to public health.",4,1348344566131388400
3,0,0,3,neutral,negative,negative,negative,negative,0,0,100,1,0,100,0,1,positive,positive,positive,positive,1,positive,245,negative,"he user expresses displeasure and criticism of naturopaths and homeopaths who promote vaccine hesitancy and offer vaccine alternatives, which could put public health at risk.",5,1348344566131388400
3,0,0,3,neutral,negative,negative,negative,negative,0,0,100,1,0,100,0,1,positive,positive,positive,positive,1,positive,245,negative,"he user expresses a negative opinion of naturopaths, homeopaths, and similar medical practitioners as threats to public health which implies a negative sentiment towards vaccines.",6,1348344566131388400
3,0,0,3,neutral,negative,negative,negative,negative,0,0,100,1,0,100,0,1,positive,positive,positive,positive,1,positive,245,negative,"he user expresses a negative sentiment towards naturopaths, homeopaths, et al as threats to public health in Canada.",7,1348344566131388400
3,0,0,3,neutral,negative,negative,negative,negative,0,0,100,1,0,100,0,1,positive,positive,positive,positive,1,positive,245,negative,"he user is expressing a negative opinion towards naturopaths, homeopaths, et al which implies a negative stance towards vaccination.",8,1348344566131388400
2,3,5,10,positive,neutral,neutral,negative,negative,50,0,50,0,100,0,0,1,neutral,neutral,neutral,neutral,1,neutral,83,negative,,0,1349899107343732700
2,3,5,10,positive,neutral,neutral,negative,negative,50,0,50,0,100,0,0,1,neutral,neutral,neutral,neutral,1,neutral,83,negative," The tweet expresses a negative sentiment regarding the actions of Russia in regards to COVID-19 vaccines, implying that the country is engaging in illegal activities to gain access to information about the vaccines.",1,1349899107343732700
2,3,5,10,positive,neutral,neutral,negative,negative,50,0,50,0,100,0,0,1,neutral,neutral,neutral,neutral,1,neutral,83,neutral,"is tweet does not express any sentiment regarding vaccination, instead it provides factual information.",3,1349899107343732700
2,3,5,10,positive,neutral,neutral,negative,negative,50,0,50,0,100,0,0,1,neutral,neutral,neutral,neutral,1,neutral,83,neutral,,40,1349899107343732700
2,3,5,10,positive,neutral,neutral,negative,negative,50,0,50,0,100,0,0,1,neutral,neutral,neutral,neutral,1,neutral,83,neutral,e tweet is merely stating a fact or an event that happened. It does not express personal feelings or attitudes towards vaccination.,41,1349899107343732700
2,3,5,10,positive,neutral,neutral,negative,negative,50,0,50,0,100,0,0,1,neutral,neutral,neutral,neutral,1,neutral,83,neutral,"e tweet is reporting a piece of news regarding Russia and COVID-19 vaccines, without expressing any personal sentiment or opinion towards vaccines.",45,1349899107343732700
2,3,5,10,positive,neutral,neutral,negative,negative,50,0,50,0,100,0,0,1,neutral,neutral,neutral,neutral,1,neutral,83,neutral,This tweet expresses factual information without any opinion or sentiment expressed by the user.,4,1349899107343732700
2,3,5,10,positive,neutral,neutral,negative,negative,50,0,50,0,100,0,0,1,neutral,neutral,neutral,neutral,1,neutral,83,neutral,"e tweet does not express an opinion on the vaccine, only that Russia is accused of stealing information about them.",5,1349899107343732700
2,3,5,10,positive,neutral,neutral,negative,negative,50,0,50,0,100,0,0,1,neutral,neutral,neutral,neutral,1,neutral,83,neutral,"is tweet does not express a sentiment for or against the vaccine, but rather states a fact.",6,1349899107343732700
2,3,5,10,positive,neutral,neutral,negative,negative,50,0,50,0,100,0,0,1,neutral,neutral,neutral,neutral,1,neutral,83,negative,"he sentiment in this tweet is negative as the user is accusing Russia of trying to steal information about COVID-19 vaccines, suggesting they are doing something wrong or unethical.",7,1349899107343732700
2,3,5,10,positive,neutral,neutral,negative,negative,50,0,50,0,100,0,0,1,neutral,neutral,neutral,neutral,1,neutral,83,neutral,"e tweet does not express a stance of the user towards vaccinations, instead it is making a factual statement.",8,1349899107343732700
3,0,0,3,neutral,neutral,neutral,neutral,neutral,100,0,0,1,50,50,0,0,neutral,positive,neutral,positive,0,neutral,88,neutral,,0,913385392254144500
3,0,0,3,neutral,neutral,neutral,neutral,neutral,100,0,0,1,50,50,0,0,neutral,positive,neutral,positive,0,neutral,88,neutral,The sentiment expressed in this tweet does not express a positive or negative opinion about vaccination; it simply states facts about the symptoms of kennel cough.,1,913385392254144500
3,0,0,3,neutral,neutral,neutral,neutral,neutral,100,0,0,1,50,50,0,0,neutral,positive,neutral,positive,0,neutral,88,neutral,The tweet is factual and does not express a particular opinion about vaccination.,3,913385392254144500
3,0,0,3,neutral,neutral,neutral,neutral,neutral,100,0,0,1,50,50,0,0,neutral,positive,neutral,positive,0,neutral,88,neutral,,40,913385392254144500
3,0,0,3,neutral,neutral,neutral,neutral,neutral,100,0,0,1,50,50,0,0,neutral,positive,neutral,positive,0,neutral,88,neutral,"e tweet is simply stating facts about the symptoms of kennel cough and mentioning vaccination, but it does not express any sentiment or opinion towards vaccination itself.",41,913385392254144500
3,0,0,3,neutral,neutral,neutral,neutral,neutral,100,0,0,1,50,50,0,0,neutral,positive,neutral,positive,0,neutral,88,neutral,"e user is sharing factual information about symptoms of kennel cough in dogs and tagging ""Vaccination"", without expressing any personal sentiment or opinion towards vaccines or vaccination.",45,913385392254144500
3,0,0,3,neutral,neutral,neutral,neutral,neutral,100,0,0,1,50,50,0,0,neutral,positive,neutral,positive,0,neutral,88,neutral,"This tweet does not express any opinion about vaccination, but rather presents information about the symptoms of kennel cough.",4,913385392254144500
3,0,0,3,neutral,neutral,neutral,neutral,neutral,100,0,0,1,50,50,0,0,neutral,positive,neutral,positive,0,neutral,88,neutral,e user does not express any sentiment regarding vaccination.,5,913385392254144500
3,0,0,3,neutral,neutral,neutral,neutral,neutral,100,0,0,1,50,50,0,0,neutral,positive,neutral,positive,0,neutral,88,neutral,e tweet is neutral because the user is not expressing sentiment towards vaccines or vaccination.,6,913385392254144500
3,0,0,3,neutral,neutral,neutral,neutral,neutral,100,0,0,1,50,50,0,0,neutral,positive,neutral,positive,0,neutral,88,neutral,is tweet is providing objective information regarding kennel cough and does not express an opinion on the topic of vaccination.,7,913385392254144500
3,0,0,3,neutral,neutral,neutral,neutral,neutral,100,0,0,1,50,50,0,0,neutral,positive,neutral,positive,0,neutral,88,neutral,e tweet does not express a stance towards vaccination.,8,913385392254144500
3,0,0,3,neutral,neutral,neutral,neutral,neutral,100,0,0,1,75,0,25,1,neutral,negative,neutral,neutral,0,neutral,422,neutral,,0,1256294855187275800
3,0,0,3,neutral,neutral,neutral,neutral,neutral,100,0,0,1,75,0,25,1,neutral,negative,neutral,neutral,0,neutral,422,neutral,"The sentiment being expressed is not negative or positive, as the tweet is merely announcing the availability of a movie trailer on YouTube.",1,1256294855187275800
3,0,0,3,neutral,neutral,neutral,neutral,neutral,100,0,0,1,75,0,25,1,neutral,negative,neutral,neutral,0,neutral,422,neutral,"is tweet does not express any opinion regarding the sentiment of vaccination, but is rather publicizing a video about vaccination.",3,1256294855187275800
3,0,0,3,neutral,neutral,neutral,neutral,neutral,100,0,0,1,75,0,25,1,neutral,negative,neutral,neutral,0,neutral,422,neutral,,40,1256294855187275800
3,0,0,3,neutral,neutral,neutral,neutral,neutral,100,0,0,1,75,0,25,1,neutral,negative,neutral,neutral,0,neutral,422,neutral,"e tweet does not express a personal opinion or sentiment about vaccination, it merely shares a link to a trailer titled ""Vaxxed"".",41,1256294855187275800
3,0,0,3,neutral,neutral,neutral,neutral,neutral,100,0,0,1,75,0,25,1,neutral,negative,neutral,neutral,0,neutral,422,neutral,"e tweet is simply sharing a link to a trailer for ""Vaxxed"" on YouTube. There is no sentiment expressed towards vaccination, as it neither portrays a positive nor negative opinion about vaccines.",45,1256294855187275800
3,0,0,3,neutral,neutral,neutral,neutral,neutral,100,0,0,1,75,0,25,1,neutral,negative,neutral,neutral,0,neutral,422,neutral,"e tweet does not express a sentiment regarding vaccination, it is simply advertising the trailer for the film ""Vaxxed"".",4,1256294855187275800
3,0,0,3,neutral,neutral,neutral,neutral,neutral,100,0,0,1,75,0,25,1,neutral,negative,neutral,neutral,0,neutral,422,neutral,"is tweet does not express a sentiment regarding vaccination, as it is simply linking to a video.",5,1256294855187275800
3,0,0,3,neutral,neutral,neutral,neutral,neutral,100,0,0,1,75,0,25,1,neutral,negative,neutral,neutral,0,neutral,422,neutral,e tweet does not express a sentiment about vaccination in either a positive or negative manner.,6,1256294855187275800
3,0,0,3,neutral,neutral,neutral,neutral,neutral,100,0,0,1,75,0,25,1,neutral,negative,neutral,neutral,0,neutral,422,negative,"he user expresses their discontent and disdain for the anti-vaxxer Novak Djokovic, implying a negative sentiment about the lack of compliance with social distancing measures and the lack of adherence to safety protocols.",7,1256294855187275800
3,0,0,3,neutral,neutral,neutral,neutral,neutral,100,0,0,1,75,0,25,1,neutral,negative,neutral,neutral,0,neutral,422,neutral,e tweet does not express the user's stance towards vaccination.,8,1256294855187275800
3,1,6,10,positive,neutral,negative,negative,negative,25,0,75,1,25,75,0,1,neutral,positive,positive,positive,0,positive,306,neutral,,0,1372524275819745300
3,1,6,10,positive,neutral,negative,negative,negative,25,0,75,1,25,75,0,1,neutral,positive,positive,positive,0,positive,306,positive," The user is expressing a desire for faster availability of COVID-19 vaccines, which indicates their support for vaccination.",1,1372524275819745300
3,1,6,10,positive,neutral,negative,negative,negative,25,0,75,1,25,75,0,1,neutral,positive,positive,positive,0,positive,306,neutral,"e tweet is not expressing an opinion, it is asking a question.",3,1372524275819745300
3,1,6,10,positive,neutral,negative,negative,negative,25,0,75,1,25,75,0,1,neutral,positive,positive,positive,0,positive,306,neutral,,40,1372524275819745300
3,1,6,10,positive,neutral,negative,negative,negative,25,0,75,1,25,75,0,1,neutral,positive,positive,positive,0,positive,306,neutral,e sentiment in the tweet is neutral because the user is asking a question without expressing a positive or negative feeling towards the COVID-19 vaccine. They're merely inquiring about the availability of vaccine doses.,41,1372524275819745300
3,1,6,10,positive,neutral,negative,negative,negative,25,0,75,1,25,75,0,1,neutral,positive,positive,positive,0,positive,306,positive,"he user is enquiring about the availability of more COVID-19 vaccine doses, indicating a desire for increased availability.",45,1372524275819745300
3,1,6,10,positive,neutral,negative,negative,negative,25,0,75,1,25,75,0,1,neutral,positive,positive,positive,0,positive,306,neutral,"is tweet expresses neither a positive nor negative sentiment about vaccination, only a request for increased availability.",4,1372524275819745300
3,1,6,10,positive,neutral,negative,negative,negative,25,0,75,1,25,75,0,1,neutral,positive,positive,positive,0,positive,306,neutral,"e tweet does not express any sentiment about vaccination; instead, the user is simply enquiring about the availability of more vaccine doses.",5,1372524275819745300
3,1,6,10,positive,neutral,negative,negative,negative,25,0,75,1,25,75,0,1,neutral,positive,positive,positive,0,positive,306,neutral,"e user is asking a factual question regarding the availability of COVID-19 vaccine doses, expressing no sentiment either way.",6,1372524275819745300
3,1,6,10,positive,neutral,negative,negative,negative,25,0,75,1,25,75,0,1,neutral,positive,positive,positive,0,positive,306,neutral,"e tweet does not contain any sentiment, only a factual question.",7,1372524275819745300
3,1,6,10,positive,neutral,negative,negative,negative,25,0,75,1,25,75,0,1,neutral,positive,positive,positive,0,positive,306,neutral,e user is asking a factual question with no expressed opinion on the matter.,8,1372524275819745300
1,0,8,9,positive,neutral,neutral,negative,neutral,75,0,25,1,75,25,0,1,neutral,positive,neutral,neutral,0,neutral,562,neutral,,0,1278177777422827500
1,0,8,9,positive,neutral,neutral,negative,neutral,75,0,25,1,75,25,0,1,neutral,positive,neutral,neutral,0,neutral,562,neutral,The tweet is an informational update about the coronavirus outbreak and does not express an opinion on the development of a vaccine.,1,1278177777422827500
1,0,8,9,positive,neutral,neutral,negative,neutral,75,0,25,1,75,25,0,1,neutral,positive,neutral,neutral,0,neutral,562,neutral,"e sentiment expressed in the tweet is objective and factual, providing information on the current state of the coronavirus outbreak without expressing any opinion.",3,1278177777422827500
1,0,8,9,positive,neutral,neutral,negative,neutral,75,0,25,1,75,25,0,1,neutral,positive,neutral,neutral,0,neutral,562,neutral,,40,1278177777422827500
1,0,8,9,positive,neutral,neutral,negative,neutral,75,0,25,1,75,25,0,1,neutral,positive,neutral,neutral,0,neutral,562,neutral,"e tweet discusses the events related to the coronavirus outbreak, and mentions the efforts to speed up vaccine development. However, it doesn't express a personal opinion or sentiment about vaccination, hence it is classified as neutral.",41,1278177777422827500
1,0,8,9,positive,neutral,neutral,negative,neutral,75,0,25,1,75,25,0,1,neutral,positive,neutral,neutral,0,neutral,562,neutral,"is tweet primarily presents factual information about the number of confirmed cases of coronavirus, the response of people to the outbreak (buying sanitizers and wipes), and the efforts by President Trump to speed up vaccine development. It does not express a personal opinion about vaccinations.",45,1278177777422827500
1,0,8,9,positive,neutral,neutral,negative,neutral,75,0,25,1,75,25,0,1,neutral,positive,neutral,neutral,0,neutral,562,neutral,This tweet is factual and does not express an opinion on vaccinations.,4,1278177777422827500
1,0,8,9,positive,neutral,neutral,negative,neutral,75,0,25,1,75,25,0,1,neutral,positive,neutral,neutral,0,neutral,562,neutral,"The tweet does not express either a positive or negative sentiment regarding vaccination, but rather states factual information and news updates regarding the COVID-19 outbreak and the development of a vaccine.",5,1278177777422827500
1,0,8,9,positive,neutral,neutral,negative,neutral,75,0,25,1,75,25,0,1,neutral,positive,neutral,neutral,0,neutral,562,neutral,"The tweet does not express an opinion on vaccines, but rather provides factual information regarding the current coronavirus outbreak.",6,1278177777422827500
1,0,8,9,positive,neutral,neutral,negative,neutral,75,0,25,1,75,25,0,1,neutral,positive,neutral,neutral,0,neutral,562,neutral,e sentiment expressed in this tweet is factual information that does not express a positive or negative opinion towards vaccinations.,7,1278177777422827500
1,0,8,9,positive,neutral,neutral,negative,neutral,75,0,25,1,75,25,0,1,neutral,positive,neutral,neutral,0,neutral,562,neutral,"e tweet does not express an opinion about vaccination, it is a factual statement about the coronavirus outbreak.",8,1278177777422827500
3,0,0,3,neutral,neutral,neutral,neutral,neutral,100,0,0,1,50,50,0,0,neutral,positive,neutral,positive,0,neutral,75,positive,,0,1012578349896659e3
3,0,0,3,neutral,neutral,neutral,neutral,neutral,100,0,0,1,50,50,0,0,neutral,positive,neutral,positive,0,neutral,75,positive, This tweet expresses a sentiment of approval for the UN's polio vaccination campaign in Syria.,1,1012578349896659e3
3,0,0,3,neutral,neutral,neutral,neutral,neutral,100,0,0,1,50,50,0,0,neutral,positive,neutral,positive,0,neutral,75,neutral,"e sentiment of this tweet is neutral because it is objective and fact-based, reporting on the completion of a polio vaccination campaign in Syria.",3,1012578349896659e3
3,0,0,3,neutral,neutral,neutral,neutral,neutral,100,0,0,1,50,50,0,0,neutral,positive,neutral,positive,0,neutral,75,neutral,,40,1012578349896659e3
3,0,0,3,neutral,neutral,neutral,neutral,neutral,100,0,0,1,50,50,0,0,neutral,positive,neutral,positive,0,neutral,75,neutral,e tweet is simply stating a fact about the UN completing the first round of Syria polio vaccination campaign. There is no personal opinion or emotion expressed that would suggest a positive or negative sentiment towards vaccination.,41,1012578349896659e3
3,0,0,3,neutral,neutral,neutral,neutral,neutral,100,0,0,1,50,50,0,0,neutral,positive,neutral,positive,0,neutral,75,negative,"nt regarding vaccination in this tweet is neutral. This tweet is simply stating a fact about the completion of the first round of a polio vaccination campaign in Syria by the UN. The user is not expressing any personal feelings, emotions, or opinion about the vaccine, which makes it neutral.",45,1012578349896659e3
3,0,0,3,neutral,neutral,neutral,neutral,neutral,100,0,0,1,50,50,0,0,neutral,positive,neutral,positive,0,neutral,75,neutral,is tweet does not express a sentiment regarding vaccination; it simply reports on a vaccination campaign.,4,1012578349896659e3
3,0,0,3,neutral,neutral,neutral,neutral,neutral,100,0,0,1,50,50,0,0,neutral,positive,neutral,positive,0,neutral,75,neutral,"is tweet is factual and objective, without an opinion expressed either positive or negative.",5,1012578349896659e3
3,0,0,3,neutral,neutral,neutral,neutral,neutral,100,0,0,1,50,50,0,0,neutral,positive,neutral,positive,0,neutral,75,neutral,"e tweet does not express any sentiment regarding vaccination, it is simply providing information about a vaccination campaign.",6,1012578349896659e3
3,0,0,3,neutral,neutral,neutral,neutral,neutral,100,0,0,1,50,50,0,0,neutral,positive,neutral,positive,0,neutral,75,neutral,is tweet is factual in nature and does not express any sentiment regarding vaccination.,7,1012578349896659e3
3,0,0,3,neutral,neutral,neutral,neutral,neutral,100,0,0,1,50,50,0,0,neutral,positive,neutral,positive,0,neutral,75,neutral,e tweet does not express an opinion or sentiment in regards to the vaccination campaign.,8,1012578349896659e3
3,0,0,3,neutral,neutral,neutral,neutral,neutral,100,0,0,1,50,50,0,0,neutral,positive,neutral,positive,0,neutral,180,positive,,0,898178568043286500
3,0,0,3,neutral,neutral,neutral,neutral,neutral,100,0,0,1,50,50,0,0,neutral,positive,neutral,positive,0,neutral,180,neutral,This tweet does not express a sentiment but instead encourages engagement with the Beef Blog and encourages followers to review their cattle vaccination plans.,1,898178568043286500
3,0,0,3,neutral,neutral,neutral,neutral,neutral,100,0,0,1,50,50,0,0,neutral,positive,neutral,positive,0,neutral,180,neutral,e tweet does not express any opinion or sentiment related to vaccination.,3,898178568043286500
3,0,0,3,neutral,neutral,neutral,neutral,neutral,100,0,0,1,50,50,0,0,neutral,positive,neutral,positive,0,neutral,180,neutral,,40,898178568043286500
3,0,0,3,neutral,neutral,neutral,neutral,neutral,100,0,0,1,50,50,0,0,neutral,positive,neutral,positive,0,neutral,180,neutral,"e tweet is purely informational, advising to review cattle vaccination plans. It does not express any personal sentiment or emotion towards the topic of vaccination.",41,898178568043286500
3,0,0,3,neutral,neutral,neutral,neutral,neutral,100,0,0,1,50,50,0,0,neutral,positive,neutral,positive,0,neutral,180,negative,"nt is neutral. The tweet is just presenting factual information about cattle vaccination plans without expressing any personal feelings or attitudes towards human vaccination, either positive or negative.",45,898178568043286500
3,0,0,3,neutral,neutral,neutral,neutral,neutral,100,0,0,1,50,50,0,0,neutral,positive,neutral,positive,0,neutral,180,neutral,"is tweet does not express a sentiment regarding vaccination, as it is sharing a link to an article about cattle vaccination plans and does not contain any opinion on the topic.",4,898178568043286500
3,0,0,3,neutral,neutral,neutral,neutral,neutral,100,0,0,1,50,50,0,0,neutral,positive,neutral,positive,0,neutral,180,neutral,"is tweet does not express a sentiment towards vaccination, instead it is an informational Tweet about the need to review vaccination plans for cattle.",5,898178568043286500
3,0,0,3,neutral,neutral,neutral,neutral,neutral,100,0,0,1,50,50,0,0,neutral,positive,neutral,positive,0,neutral,180,neutral,"is tweet does not express an opinion, rather provides a fact that now is the time to review cattle vaccination plans.",6,898178568043286500
3,0,0,3,neutral,neutral,neutral,neutral,neutral,100,0,0,1,50,50,0,0,neutral,positive,neutral,positive,0,neutral,180,neutral,This tweet does not express any sentiment about vaccination. It is simply promoting the article from The Beef Blog and encouraging people to review their cattle vaccination plans.,7,898178568043286500
3,0,0,3,neutral,neutral,neutral,neutral,neutral,100,0,0,1,50,50,0,0,neutral,positive,neutral,positive,0,neutral,180,neutral,e tweet does not express a stance of the user towards vaccination.,8,898178568043286500
2,0,8,10,positive,neutral,neutral,positive,positive,50,50,0,0,75,25,0,1,neutral,neutral,neutral,positive,0,neutral,149,positive,,0,1165989035422056400
2,0,8,10,positive,neutral,neutral,positive,positive,50,50,0,0,75,25,0,1,neutral,neutral,neutral,positive,0,neutral,149,positive," The tweet expresses news about a major development in the fight against the coronavirus, which is likely to be seen as a positive development.",1,1165989035422056400
2,0,8,10,positive,neutral,neutral,positive,positive,50,50,0,0,75,25,0,1,neutral,neutral,neutral,positive,0,neutral,149,neutral,e tweet provides factual information without expressing an opinion.,3,1165989035422056400
2,0,8,10,positive,neutral,neutral,positive,positive,50,50,0,0,75,25,0,1,neutral,neutral,neutral,positive,0,neutral,149,neutral,,40,1165989035422056400
2,0,8,10,positive,neutral,neutral,positive,positive,50,50,0,0,75,25,0,1,neutral,neutral,neutral,positive,0,neutral,149,neutral,"e tweet is merely sharing news about a development in the COVID-19 situation, specifically the Russian President's announcement about the first vaccine. It does not express a personal opinion, emotion, or stance regarding vaccination, therefore the sentiment is neutral.",41,1165989035422056400
2,0,8,10,positive,neutral,neutral,positive,positive,50,50,0,0,75,25,0,1,neutral,neutral,neutral,positive,0,neutral,149,neutral,e tweet is reporting a factual event about the Russian President's announcement of the development of a vaccine. There is no personal sentiment or opinion expressed by the user towards the vaccine.,45,1165989035422056400
2,0,8,10,positive,neutral,neutral,positive,positive,50,50,0,0,75,25,0,1,neutral,neutral,neutral,positive,0,neutral,149,positive,"he user is expressing approval for the development of a vaccine, implying a positive sentiment toward vaccination.",4,1165989035422056400
2,0,8,10,positive,neutral,neutral,positive,positive,50,50,0,0,75,25,0,1,neutral,neutral,neutral,positive,0,neutral,149,neutral,"The tweet is factually reporting the news that Russia has developed a COVID-19 vaccine, and does not express a sentiment.",5,1165989035422056400
2,0,8,10,positive,neutral,neutral,positive,positive,50,50,0,0,75,25,0,1,neutral,neutral,neutral,positive,0,neutral,149,neutral,The tweet does not express an opinion about the vaccine; it simply states a news fact.,6,1165989035422056400
2,0,8,10,positive,neutral,neutral,positive,positive,50,50,0,0,75,25,0,1,neutral,neutral,neutral,positive,0,neutral,149,negative,"he user expresses disbelief or anger towards Putin's announcement, suggesting they are against the vaccine and its development.",7,1165989035422056400
2,0,8,10,positive,neutral,neutral,positive,positive,50,50,0,0,75,25,0,1,neutral,neutral,neutral,positive,0,neutral,149,neutral,"e tweet does not express any opinion towards vaccination, it is just a factual statement.",8,1165989035422056400
3,0,0,3,neutral,neutral,neutral,neutral,negative,75,0,25,1,75,0,25,1,neutral,neutral,neutral,negative,0,neutral,8,positive,,0,1346496432530976800
3,0,0,3,neutral,neutral,neutral,neutral,negative,75,0,25,1,75,0,25,1,neutral,neutral,neutral,negative,0,neutral,8,positive," The founder is suggesting a potential technological solution to a problem, which indicates a positive sentiment towards vaccinations.",1,1346496432530976800
3,0,0,3,neutral,neutral,neutral,neutral,negative,75,0,25,1,75,0,25,1,neutral,neutral,neutral,negative,0,neutral,8,neutral,"e tweet expresses the potential benefit of blockchain technology in healthcare, but does not express any sentiment towards vaccination specifically.",3,1346496432530976800
3,0,0,3,neutral,neutral,neutral,neutral,negative,75,0,25,1,75,0,25,1,neutral,neutral,neutral,negative,0,neutral,8,neutral,,40,1346496432530976800
3,0,0,3,neutral,neutral,neutral,neutral,negative,75,0,25,1,75,0,25,1,neutral,neutral,neutral,negative,0,neutral,8,positive,"he user seems to have a positive sentiment towards vaccination. The tweet suggests that the user desires improvement in the vaccination process, considering the reference to a ""vaccination blunder"" as something that should be ""a thing of the past."" The suggestion to use blockchain technology in the healthcare sector indicates the user's interest in making the vaccination process more efficient and error-free.",41,1346496432530976800
3,0,0,3,neutral,neutral,neutral,neutral,negative,75,0,25,1,75,0,25,1,neutral,neutral,neutral,negative,0,neutral,8,neutral,"e user is not expressing personal sentiments about vaccines, instead, they are suggesting a solution to avoid future problems related to vaccination. They aren't expressing a positive or negative sentiment towards vaccinations themselves.",45,1346496432530976800
3,0,0,3,neutral,neutral,neutral,neutral,negative,75,0,25,1,75,0,25,1,neutral,neutral,neutral,negative,0,neutral,8,positive,he tweet expresses support for using blockchain technology to make sure that vaccine blunders do not happen in the future.,4,1346496432530976800
3,0,0,3,neutral,neutral,neutral,neutral,negative,75,0,25,1,75,0,25,1,neutral,neutral,neutral,negative,0,neutral,8,positive,he user is expressing hope for blockchain technology to help with the vaccine rollout process.,5,1346496432530976800
