Method,Prompt,Stance,F1 score,Sensitivity,Specificity,agreement
Mixtral,5,positive,0.375,0.2449,0.9852,Partial agreement
Mixtral,5,neutral,0.8596,0.8889,0.4898,Partial agreement
Mixtral,5,negative,0.4444,0.7347,0.8908,Partial agreement
Mixtral,6,positive,0.2791,0.1633,0.9984,Partial agreement
Mixtral,6,neutral,0.8443,0.8746,0.4388,Partial agreement
Mixtral,6,negative,0.3667,0.6735,0.861,Partial agreement
Mixtral,7,positive,0.451,0.3129,0.9819,Partial agreement
Mixtral,7,neutral,0.8531,0.8584,0.5612,Partial agreement
Mixtral,7,negative,0.3425,0.6327,0.8567,Partial agreement
Mixtral,8,positive,0.5085,0.4082,0.9522,Partial agreement
Mixtral,8,neutral,0.8595,0.8548,0.6173,Partial agreement
Mixtral,8,negative,0.4198,0.6939,0.8879,Partial agreement
