Method,Prompt,Stance,F1 score,Sensitivity,Specificity,annotator
mixtral4,NA,positive,0.2394,0.1397,0.9842,Co-author (2)
mixtral4,NA,neutral,0.6811,0.8659,0.4307,Co-author (2)
mixtral4,NA,negative,0.4792,0.5568,0.8354,Co-author (2)
mixtral5,NA,positive,0.1943,0.1123,0.9746,Co-author (2)
mixtral5,NA,neutral,0.6678,0.8923,0.3438,Co-author (2)
mixtral5,NA,negative,0.4802,0.483,0.8866,Co-author (2)
mixtral6,NA,positive,0.1313,0.0712,0.9921,Co-author (2)
mixtral6,NA,neutral,0.6606,0.8835,0.3346,Co-author (2)
mixtral6,NA,negative,0.4591,0.4943,0.8585,Co-author (2)
mixtral7,NA,positive,0.2579,0.1562,0.9683,Co-author (2)
mixtral7,NA,neutral,0.665,0.8593,0.39,Co-author (2)
mixtral7,NA,negative,0.4545,0.483,0.8622,Co-author (2)
mixtral8,NA,positive,0.3402,0.2274,0.9366,Co-author (2)
mixtral8,NA,neutral,0.6701,0.8505,0.4214,Co-author (2)
mixtral8,NA,negative,0.4642,0.4602,0.8878,Co-author (2)
vader,NA,positive,0.3119,0.2429,0.8793,Co-author (2)
vader,NA,neutral,0.7364,0.8122,0.4476,Co-author (2)
vader,NA,negative,0.283,0.2857,0.8819,Co-author (2)
