Method,Prompt,Stance,F1 score,Sensitivity,Specificity,annotator
gpt7,NA,negative,0.1532,0.8537,0.6023,Co-author (1)
gpt8,NA,positive,0.3117,0.4186,0.8806,Co-author (1)
gpt8,NA,neutral,0.8517,0.7936,0.5197,Co-author (1)
gpt8,NA,negative,0.2113,0.3659,0.9102,Co-author (1)
mturk,NA,positive,0.3347,0.4878,0.8264,Co-author (1)
mturk,NA,neutral,0.8629,0.8326,0.4701,Co-author (1)
mturk,NA,negative,0.1,0.0571,0.9958,Co-author (1)
gpt43,NA,positive,0.4394,0.3372,0.9814,Co-author (1)
gpt43,NA,neutral,0.9018,0.8693,0.5984,Co-author (1)
gpt43,NA,negative,0.2595,0.5854,0.8747,Co-author (1)
gpt44,NA,positive,0.4,0.407,0.9409,Co-author (1)
gpt44,NA,neutral,0.8938,0.8544,0.6063,Co-author (1)
gpt44,NA,negative,0.3077,0.5854,0.905,Co-author (1)
gpt46,NA,positive,0.4615,0.4884,0.9409,Co-author (1)
gpt46,NA,neutral,0.8974,0.8578,0.6299,Co-author (1)
gpt46,NA,negative,0.3087,0.561,0.9113,Co-author (1)
gpt47,NA,positive,0.4409,0.4767,0.9354,Co-author (1)
gpt47,NA,neutral,0.9056,0.875,0.6063,Co-author (1)
gpt47,NA,negative,0.3307,0.5122,0.9322,Co-author (1)
gpt48,NA,positive,0.4505,0.5814,0.9058,Co-author (1)
gpt48,NA,neutral,0.8866,0.8337,0.6772,Co-author (1)
gpt48,NA,negative,0.3529,0.5854,0.9259,Co-author (1)
mistral2,NA,positive,0.3814,0.4767,0.9033,Co-author (1)
mistral2,NA,neutral,0.8131,0.7135,0.7165,Co-author (1)
mistral2,NA,negative,0.246,0.7561,0.8115,Co-author (1)
mistral1,NA,positive,0.3668,0.4719,0.8931,Co-author (1)
mistral1,NA,neutral,0.7923,0.68,0.7557,Co-author (1)
mistral1,NA,negative,0.2278,0.7619,0.7853,Co-author (1)
mistral3,NA,positive,0.3364,0.4302,0.8934,Co-author (1)
mistral3,NA,neutral,0.7618,0.6421,0.7008,Co-author (1)
mistral3,NA,negative,0.2215,0.8293,0.7571,Co-author (1)
mistral4,NA,positive,0.3108,0.4535,0.8615,Co-author (1)
mistral4,NA,neutral,0.6856,0.542,0.7323,Co-author (1)
mistral4,NA,negative,0.1907,0.8537,0.6953,Co-author (1)
mistral5,NA,positive,0.288,0.4186,0.8593,Co-author (1)
mistral5,NA,neutral,0.6627,0.5155,0.7244,Co-author (1)
mistral5,NA,negative,0.1846,0.878,0.6723,Co-author (1)
mistral6,NA,positive,0.3051,0.4186,0.8747,Co-author (1)
mistral6,NA,neutral,0.6922,0.5512,0.7165,Co-author (1)
mistral6,NA,negative,0.1989,0.9024,0.6921,Co-author (1)
mistral7,NA,positive,0.2557,0.5233,0.7571,Co-author (1)
mistral7,NA,neutral,0.6562,0.5063,0.748,Co-author (1)
mistral7,NA,negative,0.194,0.7073,0.7602,Co-author (1)
mistral8,NA,positive,0.3268,0.4884,0.8582,Co-author (1)
mistral8,NA,neutral,0.7228,0.588,0.7323,Co-author (1)
mistral8,NA,negative,0.2118,0.8293,0.7424,Co-author (1)
mixtral2,NA,positive,0.2952,0.4651,0.8407,Co-author (1)
mixtral2,NA,neutral,0.6196,0.4591,0.8425,Co-author (1)
mixtral2,NA,negative,0.1801,0.9512,0.6304,Co-author (1)
mixtral1,NA,positive,0.3391,0.4382,0.8888,Co-author (1)
mixtral1,NA,neutral,0.7129,0.5703,0.8015,Co-author (1)
mixtral1,NA,negative,0.1937,0.881,0.6857,Co-author (1)
mixtral3,NA,positive,0.4032,0.2907,0.9857,Co-author (1)
mixtral3,NA,neutral,0.7907,0.6847,0.6772,Co-author (1)
mixtral3,NA,negative,0.2039,0.9024,0.7016,Co-author (1)
mixtral4,NA,positive,0.4354,0.3721,0.9681,Co-author (1)
mixtral4,NA,neutral,0.8377,0.7572,0.6535,Co-author (1)
mixtral4,NA,negative,0.2336,0.7805,0.7895,Co-author (1)
mixtral5,NA,positive,0.4196,0.3488,0.9703,Co-author (1)
mixtral5,NA,neutral,0.8663,0.8124,0.5669,Co-author (1)
mixtral5,NA,negative,0.2557,0.6829,0.8429,Co-author (1)
mixtral6,NA,positive,0.3761,0.2558,0.9901,Co-author (1)
mixtral6,NA,neutral,0.8571,0.8044,0.5039,Co-author (1)
mixtral6,NA,negative,0.2213,0.6585,0.8157,Co-author (1)
mixtral7,NA,positive,0.4417,0.4186,0.9549,Co-author (1)
mixtral7,NA,neutral,0.8478,0.7756,0.6299,Co-author (1)
mixtral7,NA,negative,0.2092,0.6098,0.8188,Co-author (1)
mixtral8,NA,positive,0.4115,0.5,0.9121,Co-author (1)
mixtral8,NA,neutral,0.8438,0.7618,0.7008,Co-author (1)
mixtral8,NA,negative,0.271,0.7073,0.8492,Co-author (1)
vader,NA,positive,0.2714,0.3293,0.8667,Co-author (1)
vader,NA,neutral,0.8174,0.7496,0.5424,Co-author (1)
vader,NA,negative,0.2098,0.4167,0.8724,Co-author (1)
