Method,Prompt,Stance,F1 score,Sensitivity,Specificity,agreement
GPT 4,7,positive,0.7,0.5714,0.9869,Full agreement
GPT 4,7,neutral,0.9436,0.9721,0.6984,Full agreement
GPT 4,7,negative,0.6061,0.7143,0.9659,Full agreement
GPT 4,8,positive,0.7586,0.6735,0.9782,Full agreement
GPT 4,8,neutral,0.9425,0.9535,0.7619,Full agreement
GPT 4,8,negative,0.7059,0.8571,0.9697,Full agreement
"Mistral 
(7B)",2,positive,0.5848,0.5376,0.9385,Full agreement
"Mistral 
(7B)",2,neutral,0.8724,0.8244,0.7686,Full agreement
"Mistral 
(7B)",2,negative,0.4407,0.9286,0.8769,Full agreement
"Mistral 
(7B)",1,positive,0.6374,0.58,0.9474,Full agreement
"Mistral 
(7B)",1,neutral,0.8812,0.8318,0.8125,Full agreement
"Mistral 
(7B)",1,negative,0.4262,0.9286,0.8712,Full agreement
"Mistral 
(7B)",3,positive,0.5275,0.4898,0.9211,Full agreement
"Mistral 
(7B)",3,neutral,0.8114,0.7336,0.746,Full agreement
"Mistral 
(7B)",3,negative,0.3684,1,0.8175,Full agreement
"Mistral 
(7B)",4,positive,0.5161,0.4898,0.9123,Full agreement
"Mistral 
(7B)",4,neutral,0.7568,0.6542,0.746,Full agreement
"Mistral 
(7B)",4,negative,0.3077,1,0.7605,Full agreement
"Mistral 
(7B)",5,positive,0.5319,0.5102,0.9123,Full agreement
"Mistral 
(7B)",5,neutral,0.7383,0.6262,0.7619,Full agreement
"Mistral 
(7B)",5,negative,0.2887,1,0.7376,Full agreement
"Mistral 
(7B)",6,positive,0.5,0.4694,0.9123,Full agreement
"Mistral 
(7B)",6,neutral,0.7459,0.6449,0.7143,Full agreement
"Mistral 
(7B)",6,negative,0.3043,1,0.7567,Full agreement
"Mistral 
(7B)",7,positive,0.5,0.5918,0.8333,Full agreement
"Mistral 
(7B)",7,neutral,0.7582,0.6449,0.8095,Full agreement
"Mistral 
(7B)",7,negative,0.3514,0.9286,0.8213,Full agreement
"Mistral 
(7B)",8,positive,0.5745,0.551,0.9211,Full agreement
"Mistral 
(7B)",8,neutral,0.7895,0.7009,0.746,Full agreement
"Mistral 
(7B)",8,negative,0.35,1,0.8023,Full agreement
Llama3 (8B),2,positive,0.6135,0.5376,0.9561,Full agreement
Llama3 (8B),2,neutral,0.8272,0.7383,0.8347,Full agreement
Llama3 (8B),2,negative,0.3158,0.9643,0.7774,Full agreement
Llama3 (8B),1,positive,0.3234,0.54,0.607,Full agreement
Llama3 (8B),1,neutral,0.5697,0.4279,0.75,Full agreement
Llama3 (8B),1,negative,0.2794,0.6786,0.8321,Full agreement
Llama3 (8B),3,positive,0.5644,0.4694,0.9584,Full agreement
Llama3 (8B),3,neutral,0.6198,0.4732,0.8175,Full agreement
Llama3 (8B),3,negative,0.1781,0.9286,0.5484,Full agreement
Llama3 (8B),4,positive,0.4745,0.6633,0.7571,Full agreement
Llama3 (8B),4,neutral,0.5254,0.3613,0.9524,Full agreement
Llama3 (8B),4,negative,0.2114,0.9286,0.6357,Full agreement
Llama3 (8B),5,positive,0.3774,0.7143,0.5558,Full agreement
Llama3 (8B),5,neutral,0.334,0.2028,0.9603,Full agreement
Llama3 (8B),5,negative,0.2018,0.7857,0.6812,Full agreement
Llama3 (8B),6,positive,0.4038,0.6429,0.6696,Full agreement
Llama3 (8B),6,neutral,0.3289,0.2005,0.9365,Full agreement
Llama3 (8B),6,negative,0.1527,0.75,0.5712,Full agreement
Llama3 (8B),7,positive,0.4229,0.7551,0.6105,Full agreement
Llama3 (8B),7,neutral,0.364,0.2261,0.9444,Full agreement
Llama3 (8B),7,negative,0.185,0.75,0.6622,Full agreement
Llama3 (8B),8,positive,0.6135,0.5102,0.9672,Full agreement
Llama3 (8B),8,neutral,0.6853,0.5431,0.8571,Full agreement
Llama3 (8B),8,negative,0.2022,0.9643,0.5977,Full agreement
Llama3 (70B),2,positive,0.6701,0.7097,0.9165,Full agreement
Llama3 (70B),2,neutral,0.8331,0.7307,0.9174,Full agreement
Llama3 (70B),2,negative,0.3733,1,0.8192,Full agreement
Llama3 (70B),1,positive,0.5806,0.72,0.8333,Full agreement
Llama3 (70B),1,neutral,0.6667,0.5093,0.9375,Full agreement
Llama3 (70B),1,negative,0.2667,1,0.7083,Full agreement
Llama3 (70B),3,positive,0.7229,0.6122,0.9825,Full agreement
Llama3 (70B),3,neutral,0.89,0.8318,0.873,Full agreement
Llama3 (70B),3,negative,0.3944,1,0.8365,Full agreement
Llama3 (70B),4,positive,0.7765,0.6735,0.9868,Full agreement
Llama3 (70B),4,neutral,0.9095,0.8692,0.8571,Full agreement
Llama3 (70B),4,negative,0.4667,1,0.8783,Full agreement
Llama3 (70B),5,positive,0.7407,0.6122,0.9912,Full agreement
Llama3 (70B),5,neutral,0.8728,0.8178,0.8095,Full agreement
Llama3 (70B),5,negative,0.3889,1,0.8327,Full agreement
Llama3 (70B),6,positive,0.7561,0.6327,0.9912,Full agreement
Llama3 (70B),6,neutral,0.8983,0.8458,0.873,Full agreement
Llama3 (70B),6,negative,0.4058,1,0.8441,Full agreement
Llama3 (70B),7,positive,0.7234,0.6939,0.9518,Full agreement
Llama3 (70B),7,neutral,0.866,0.785,0.9048,Full agreement
Llama3 (70B),7,negative,0.3889,1,0.8327,Full agreement
Llama3 (70B),8,positive,0.7921,0.8163,0.9474,Full agreement
Llama3 (70B),8,neutral,0.9045,0.8411,0.9365,Full agreement
Llama3 (70B),8,negative,0.5091,1,0.8973,Full agreement
"Mixtral 
(8x7B)",2,positive,0.5838,0.5806,0.9165,Full agreement
"Mixtral 
(8x7B)",2,neutral,0.712,0.5761,0.8512,Full agreement
"Mixtral 
(8x7B)",2,negative,0.2364,0.9286,0.6808,Full agreement
"Mixtral 
(8x7B)",1,positive,0.6136,0.54,0.9518,Full agreement
"Mixtral 
(8x7B)",1,neutral,0.8021,0.7103,0.7969,Full agreement
"Mixtral 
(8x7B)",1,negative,0.2697,0.8571,0.7614,Full agreement
"Mixtral 
(8x7B)",3,positive,0.5588,0.3878,1,Full agreement
"Mixtral 
(8x7B)",3,neutral,0.8271,0.771,0.6825,Full agreement
"Mixtral 
(8x7B)",3,negative,0.2989,0.9286,0.7719,Full agreement
"Mixtral 
(8x7B)",4,positive,0.6389,0.4694,1,Full agreement
"Mixtral 
(8x7B)",4,neutral,0.9005,0.8879,0.7143,Full agreement
"Mixtral 
(8x7B)",4,negative,0.4,0.8571,0.8707,Full agreement
"Mixtral 
(8x7B)",5,positive,0.5915,0.4286,0.9956,Full agreement
"Mixtral 
(8x7B)",5,neutral,0.9153,0.9346,0.6349,Full agreement
"Mixtral 
(8x7B)",5,negative,0.5217,0.8571,0.924,Full agreement
"Mixtral 
(8x7B)",6,positive,0.5373,0.3673,1,Full agreement
"Mixtral 
(8x7B)",6,neutral,0.8894,0.9019,0.5714,Full agreement
"Mixtral 
(8x7B)",6,negative,0.3774,0.7143,0.8897,Full agreement
"Mixtral 
(8x7B)",7,positive,0.6486,0.4898,0.9956,Full agreement
"Mixtral 
(8x7B)",7,neutral,0.9014,0.8972,0.6825,Full agreement
"Mixtral 
(8x7B)",7,negative,0.4074,0.7857,0.8897,Full agreement
"Mixtral 
(8x7B)",8,positive,0.6905,0.5918,0.9737,Full agreement
"Mixtral 
(8x7B)",8,neutral,0.9095,0.8925,0.7619,Full agreement
"Mixtral 
(8x7B)",8,negative,0.44,0.7857,0.9049,Full agreement
Vader,NA,positive,0.4086,0.3878,0.8908,Full agreement
Vader,NA,neutral,0.8578,0.8279,0.6508,Full agreement
Vader,NA,negative,0.2917,0.5,0.8977,Full agreement
